id,manual terms,role,feature,benefit,
2834,,home occupant,a self mowed lawn,i can relax on sundays,
2835,,disabled person,voice activated system to notify EMS personnel,if I become unable to access a phone I can yell a command to call emergency services,
2836,,home occupant,blanket warmer,it heats up automatically when it is touched,
2837,,home occupant,my house to wake me up in the morning,i can go to work,
2838,,home occupant,the stove top burners and oven to automatically turn off,that unwatched  pots will not burn,
2839,,pet owner,Sensors to detect when my dog is at the backdoor,So I'll know when she needs to be let out,
2840,,pet owner,an automatic food and water dispenser,my pets can be fed periodically throughout the day ,
2841,,home occupant,music playing in my shower,i can dance in the shower ,
2842,,mother,doors that lock automatically,my child can not leave the house if I step out of the room.,
2843,,home cook,the oven to set the temp if I am preparing a meal from an app or using smart device.,I will not forget and it will be ready when I get all the ingredients together.,
2844,,home occupant,nature sounds playing as I sleep,i can sleep better,
2845,,homebound person,a monitor to notify EMS if I don't move for more than a day,if I die or become unconcious I can be removed or have help sent,
2846,,home occupant,I want my toilet to alert me when it has been more than 24 hours since my last bowel movement.,I can adjust my diet to contain more fiber.,
2847,,pet owner,an automated pet door with cameras and sensors,I can let my dog out to use the bathroom when I am not at home,
2848,,mother,auto-locking cabinets,my child can not get into dangerous items,
2849,,home occupant,to take phone calls just speaking in my home,i don't need my phone,
2850,,home occupant,the robot vacuum cleaner to return to its charging station when needed,the vacuum can run all day long when we are not home,
2851,,occupant,automatic lighting,I can save energy by having lights turned off when not in use and have lights turn on when entering rooms,
2852,,home occupant,to send txt using my voice in my home,i don't have to txt on my phone,
2853,,home owner,a self-adjusting thermostat,I can save on electricity bills,
2854,,occupant,severe weather alarm,I can be warned of dangerous weather approaching my location,
2855,,home owner,the dishwasher to start when energy consumpiton is low.,I can save on my energy bill,
2856,,mother,a device to send me a text message when my child's phone crosses the threshold of our front door,I can know my child made it home safely,
2857,,home occupant,certain scents in my shower,I can breathe peppermint if I have a headache ect ,
2858,,parent,My smart home to alert me when the children are not watching the proper television programs.,I can supervise my children without needing to actually spend time with them.,
2860,,home owner,a device to send me a text message if I lock the door and left the coffee pot on,I don't start a fire.,
2861,,occupant,a smart thermostat,"I can be alerted when a filter change is due, adjust the temperature remotely.",
2862,,home occupant,increments of monthly electricity used to be texted to my phone,I can budget appropriately,
2863,,home owner,the temperature of the water to raise and lower as needed troughout the day,I am not always heating water that isn't being used,
2864,,home occupant,a robot to make me meals,I don't have to cook my own,
2865,,home occupant,sensors that will detect drafts ,so I'll know when maintenance needs to occur on windows and doors,
2866,,occupant,a central data storage drive/server,"I can backup my data, access music and movies, access books via wifi or hardline",
2868,,home owner,an app on my smart phone to control my stereo system,I can turn it on/off or change stations/tracks if I'm in a different room.,
2869,,home occupant,My coffee freshly ground and brewed every morning before I wake up.,I can save time.,
2870,,home owner,"The temperature in each room to be monitored, if room is rarely used, keep it at a lower temp, and vice versa",I am not paying to heat a room that is rarely used.,
2871,,home occupant,my smart home to let me know when the dog uses the doggy door ,I can keep track of the pets whereabouts,
2872,,parent,My smart home to read stories to my children at bedtime.,It will save me time.,
2873,,nanny,a camera/alarm at the back door to alert me via sound and/or text message if the back door has been opened and left open,small children in my care can not leave the house and wander near the pool,
2874,,home occupant,my smart home to let me know if any faucets or toilets are left running,I can conserve water,
2875,,caregiver,an appliance energy warning system,I don't overload a circuit and have the electricity shut off.,
